title,link,video_id,channel,views,snippet,length_str,parsed_length,parsed_views
Jon Kabat-Zinn & Yuval Noah Harari In Conversation,https://www.youtube.com/watch?v=7r5lw3jPrUk,7r5lw3jPrUk,Yuval Noah Harari ,"319,365 views",,1:17:34,4654,319365
Yuval Noah Harari Speaks to Young Readers & Teachers About 'Unstoppable Us' | Aprendemos Juntos,https://www.youtube.com/watch?v=flQiPH_IFcI,flQiPH_IFcI,Yuval Noah Harari ,"525,580 views",,1:10:42,4242,525580
ET Conversations with Yuval Noah Harari,https://www.youtube.com/watch?v=tPc8yumdfs8,tPc8yumdfs8,The Economic Times,"14,939 views",,30:28,1828,14939
DO THIS Everyday To Completely Heal Your BODY & MIND | Dr. Daniel Amen & Jay Shetty,https://www.youtube.com/watch?v=90bxNpimtb8,90bxNpimtb8,Jay Shetty Podcast,"3,331,696 views",,1:09:47,4187,3331696
Yuval Noah Harari: This Election Will Tear The Country Apart! AI Will Control You By 2034!,https://www.youtube.com/watch?v=78YN1e8UXdM,78YN1e8UXdM,The Diary Of A CEO,"1,096,475 views",,1:54:17,6857,1096475
Slavoj Žižek & Yuval Noah Harari | Should We Trust Nature More than Ourselves?,https://www.youtube.com/watch?v=3jjRq-CW1dc,3jjRq-CW1dc,Yuval Noah Harari ,"1,112,494 views",,41:39,2499,1112494
Yuval Noah Harari Explains How Social Media Is Hacking The Human Brain | NDTV Profit,https://www.youtube.com/watch?v=B7zu8zyOibc,B7zu8zyOibc,NDTV Profit,"183,341 views",,26:55,1615,183341
"These Kids Are TELEPATHIC! They Can Read Minds, See Auras & Speak to The Other Side! | Ky Dickens",https://www.youtube.com/watch?v=bY6JTLwkUzc,bY6JTLwkUzc,Jay Shetty Podcast,"31,647 views",,1:32:04,5524,31647
Mel Robbins: The ‘Let Them Theory’ (A Life-Changing Hack That 15M People Can’t Stop Talking About),https://www.youtube.com/watch?v=P91b4civBxA,P91b4civBxA,Jay Shetty Podcast,"917,954 views",,1:23:57,5037,917954
YUVAL NOAH HARARI: Our AI Future Is WAY WORSE Than You Think | Rich Roll Podcast,https://www.youtube.com/watch?v=_jl64f-821o,_jl64f-821o,Rich Roll,"680,771 views",,1:37:44,5864,680771
Robert Greene On How To Stop Feeling Empty Inside & Finding Your Unique Purpose,https://www.youtube.com/watch?v=nXs4UABX4Kc,nXs4UABX4Kc,Jay Shetty Podcast,"1,487,141 views",,1:18:54,4734,1487141
Yuval Noah Harari: This election has already set a dangerous precedent.,https://www.youtube.com/watch?v=FQYGid5uCPk,FQYGid5uCPk,The Jordan Harbinger Show,"303,127 views",,1:20:52,4852,303127
How AI Shapes What We Believe: Yuval Noah Harari & Larry Wilmore In Conversation,https://www.youtube.com/watch?v=bYqxiqfYgCY,bYqxiqfYgCY,Yuval Noah Harari ,"75,784 views",,1:24:31,5071,75784
Secret Service Agent: REMOVE PEOPLE From Your Life if They Have THESE RED FLAGS! Evy Poumpouras,https://www.youtube.com/watch?v=YXH_O2FHqpo,YXH_O2FHqpo,Lewis Howes,"1,978,872 views",,57:16,3436,1978872
Homo Deus: A BRIEF HISTORY OF TOMORROW with Yuval Noah Harari,https://www.youtube.com/watch?v=4ChHc5jhZxs,4ChHc5jhZxs,University of California Television (UCTV),"1,980,174 views",,57:36,3456,1980174
For People Feeling Behind In Life - Do This Before 2025 Ends To Find Purpose & Meaning | Rick Rubin,https://www.youtube.com/watch?v=YS299z6ahsk,YS299z6ahsk,Dr Rangan Chatterjee,"2,863,075 views",,2:24:19,8659,2863075
Rick Rubin: How to Access Your Creativity,https://www.youtube.com/watch?v=ycOBZZeVeAc,ycOBZZeVeAc,Andrew Huberman,"4,497,577 views",,3:00:39,10839,4497577
Dave Ramsey's SECRET TO WEALTH & RICHES Will Leave You SPEECHLESS! | Jay Shetty,https://www.youtube.com/watch?v=mc68ZO-5eDY,mc68ZO-5eDY,Jay Shetty Podcast,"724,703 views",,55:26,3326,724703
Rick Rubin: The Invisibility of Hip Hop's Greatest Producer,https://www.youtube.com/watch?v=vabwGiTWRVo,vabwGiTWRVo,Soulr,"3,228,331 views",,33:46,2026,3228331
The Rick Rubin Interview,https://www.youtube.com/watch?v=qkwISstQQVw,qkwISstQQVw,Rick Beato,"1,808,549 views",,2:12:49,7969,1808549
Lewis Howes ON: Unlocking The POWER OF YOUR MIND For Success & Abundance! | Jay Shetty,https://www.youtube.com/watch?v=54iHHsucmt0,54iHHsucmt0,Jay Shetty Podcast,"905,824 views",,1:18:32,4712,905824
"Rick Rubin on The Creative Act, Overcoming Ego, and Enjoying the Process",https://www.youtube.com/watch?v=Zr-OZaJ-DVQ,Zr-OZaJ-DVQ,Daily Stoic,"511,996 views",,1:38:04,5884,511996
Rick Rubin Reveals His Secret to UNLOCK Your Creativity!,https://www.youtube.com/watch?v=brPHcAJn7ZU,brPHcAJn7ZU,Lewis Howes,"325,161 views",,1:19:21,4761,325161
Rick Rubin: Legendary Music Producer | Lex Fridman Podcast #275,https://www.youtube.com/watch?v=H_szemxPcTI,H_szemxPcTI,Lex Fridman,"1,541,409 views",,2:04:17,7457,1541409
Dr. Joe Dispenza: WATCH THIS To Rewire Your Brain & ATTRACT Anything You Want,https://www.youtube.com/watch?v=F-MEegYIWaM,F-MEegYIWaM,Jay Shetty Podcast,"1,136,635 views",,1:14:51,4491,1136635
WATCH THIS EVERY DAY To Brainwash Yourself For SUCCESS & ABUNDANCE! | Joe Dispenza & Jay Shetty,https://www.youtube.com/watch?v=4qykb6jKXdo,4qykb6jKXdo,Jay Shetty Podcast,"6,488,193 views",,20:25,1225,6488193
Rick Rubin: Protocols to Access Creative Energy and Process,https://www.youtube.com/watch?v=GpgqXCkRO-w,GpgqXCkRO-w,Andrew Huberman,"1,874,252 views",,2:28:09,8889,1874252
ARNOLD SCHWARZENEGGER On How To Change The Trajectory of Your Life! ”I was unhappy with reality…”,https://www.youtube.com/watch?v=gvwYAdynzzU,gvwYAdynzzU,Jay Shetty Podcast,"897,925 views",,1:48:52,6532,897925
Robert Greene On How To Stop Feeling Empty Inside & Finding Your Unique Purpose,https://www.youtube.com/watch?v=nXs4UABX4Kc,nXs4UABX4Kc,Jay Shetty Podcast,"1,487,141 views",,1:18:54,4734,1487141
Rick Rubin's Daily Routine,https://www.youtube.com/watch?v=NKoGINUeh1g,NKoGINUeh1g,Huberman Lab Clips,"216,579 views",,9:41,581,216579
"Rick Rubin — Magic, Everyday Mystery, and Getting Creative",https://www.youtube.com/watch?v=QReC6tvrARA,QReC6tvrARA,The On Being Project,"366,878 views",,1:04:40,3880,366878
"Music Producer Rick Rubin: Meditation, Creativity, Habits & Self-Doubt |Dan Harris Podcast Interview",https://www.youtube.com/watch?v=8AC1uXMo870,8AC1uXMo870,10% Happier,"97,822 views",,1:06:03,3963,97822
Pharrell and Rick Rubin Have an Epic Conversation | GQ,https://www.youtube.com/watch?v=PnahkJevp64,PnahkJevp64,GQ,"3,952,470 views",,47:59,2879,3952470
Tony Robbins ON: How To BRAINWASH Yourself For Success & Destroy NEGATIVE THOUGHTS! | Jay Shetty,https://www.youtube.com/watch?v=BwjnG45zO5U,BwjnG45zO5U,Jay Shetty Podcast,"2,906,912 views",,1:33:42,5622,2906912
The ROOT CAUSE Of Trauma & Why You FEEL LOST In Life | Dr. Gabor Maté & Jay Shetty,https://www.youtube.com/watch?v=OTQJmkXC2EI,OTQJmkXC2EI,Jay Shetty Podcast,"5,144,163 views",,1:19:01,4741,5144163
The Nutrition Expert: 93% of Adults Have Metabolic Issues (What Your Body Is Trying to Tell You),https://www.youtube.com/watch?v=t2OeZcxVVI4,t2OeZcxVVI4,Jay Shetty Podcast,"1,144,147 views",,1:53:58,6838,1144147
The Holistic Doctor's 3-STEP HACK For Optimal Physical & Mental Health!,https://www.youtube.com/watch?v=6z0Ker1Z3-0,6z0Ker1Z3-0,Jay Shetty Podcast,"1,024,156 views",,1:27:28,5248,1024156
The First Steps To Reducing Your Anxiety with author Mel Robbins | A Bit of Optimism Podcast,https://www.youtube.com/watch?v=JP5USHGSF8o,JP5USHGSF8o,Simon Sinek,"369,722 views",,57:11,3431,369722
The SUGAR Expert: Everything You Need To Know About Glucose Spikes (& 5 HACKS TO PREVENT THEM),https://www.youtube.com/watch?v=MxovSnvSO4E,MxovSnvSO4E,Jay Shetty Podcast,"3,732,982 views",,1:11:11,4271,3732982
"These Kids Are TELEPATHIC! They Can Read Minds, See Auras & Speak to The Other Side! | Ky Dickens",https://www.youtube.com/watch?v=bY6JTLwkUzc,bY6JTLwkUzc,Jay Shetty Podcast,"31,647 views",,1:32:04,5524,31647
Dopamine Expert: Doing This Once A Day Fixes Your Dopamine! What Alcohol Is Doing To Your Brain!!,https://www.youtube.com/watch?v=R6xbXOp7wDA,R6xbXOp7wDA,The Diary Of A CEO,"3,242,871 views",,2:11:40,7900,3242871
